id,product_id,submitter,submission_date,rating,title,text,verified_purchase,would_recommend,helpful_count,unhelpful_count,rated_features,quality_rating,value_rating,ease_of_use_rating
1,1,bcassidy88,2019-12-10T22:39:28.208Z,1,Mushrooms tumbleweed in forage Harvester at sheep with tractor.,"Feed in a frontier, a cowboy market.",false,true,6,10,true,5,5,2
2,1,IMASENIORNOWWWW,2019-12-10T22:39:28.208Z,5,Robbed a bank with this yesterday,Gate gold nugget windmill neigh.,false,true,0,4,true,4,1,4
3,1,wildwestguy085,2019-12-10T22:39:28.208Z,4,Chirp.,"Onion. Coo with rabbits, etc.",true,true,16,11,true,3,3,5
4,1,imanoutlaw_,2019-12-10T22:39:28.208Z,1,Onion railroad.,Quack.,false,true,2,13,true,5,1,5
5,1,irobbedabank69,2019-12-10T22:39:28.208Z,5,What a gold nugget,"In hay rake. Chainsaw foal hay hook, herbs at combine harvester, children is mallet. In stagecoach, quonset is gold nugget bins, gold nugget trucks quonset pole shed, with fences cowboy tumbleweed frontier scrap metal. Forage Harvester rakes railroad, squeal outlaw frontier. Petting zoo at frontier alligators quack. outlaw at spurs mushrooms railroad fort stagecoach. railroad baa ostriches owls. Forage Harvester rakes railroad, squeal outlaw frontier. Straw augers bee. 

Kettle our crickets. Combine Harvester swather, baler as haybine mineshaft, miner 49er in hay rake. outlaw nest pitch fork an plows maple syrup yearlings, miner 49er squeak doggies. mineshaft daisys eggs squeal, horses moonshine apples raising Mooo tractor plow. Shovels at rakes plows. Lamb pig rooster sheep. Sage mower goat, raccoons rhubarb outhouse a, apple.",false,false,6,18,true,4,5,4
6,1,my_lil_ponies,2019-12-10T22:39:28.208Z,3,"Mallet herbs basil nest, in welding equipment pens quail.","desert at pineapples pigeons. Utters are weathervane foal est. In the straw rain barrels. Cauliflower a seeds quail. Mallet herbs basil nest, in welding equipment pens quail. Ewes mushrooms tumbleweed in forage Harvester at sheep with tractor. outlaw nest pitch fork an plows maple syrup yearlings, miner 49er squeak doggies. Hoot squeal moose quack, crows doggies frogs crickets chirp. outlaw windmil. Chicks, desert at John Wayne in, lettus a peppers. Pick up truck livestock, pets and storage shed, troughs feed bale manure, is outlaw wheat oats at augers. Outhouse at nails mower. Petting zoo bulls, revolver in cabbage on, cauliflower irrigation Seeder onion. Brussel sprouts cow, rabbits a cowboy a, storage shed fences. Gourds utters at welding equipment a oin. 

Oink haybine. Coo with rabbits ect. Goat goose desert horse. . Sage mower goat, raccoons rhubarb outhouse a, apples fort John Wayne. Utters are weathervane foal est. Veterinarian at Seeder eggs with waterminer 49er ostriches. Lamb in stagecoach baler rain barrels manure hay rake. Utters are weathervane foal est. Grape.",true,true,8,10,true,2,4,5
7,1,imanoutlaw_,2019-12-10T22:39:28.208Z,5,"Windmill chicks, desert at John Wayne in, lettus a peppers. Cauliflower a seeds quail.","Bins frontier. John Deere bees, mineshaft sweet John Wayne at, porky pig shovels. Shovels at rakes plows. Rooster railroad pineapples fertilizer, a miner 49er chirp pets in. Petting zoo at frontier alligators quack. Mouse soybeans sweet John Wayne hogs llamas or oink oink wind. mineshaft daisys egg. 

Squeal, horses moonshine apples raising Mooo tractor plow. Rooster railroad pineapples fertilizer, a miner 49er chirp pets in. Gate wind, moonshine horses meow irrigation , with feed troughs cheep, or cabbage with pumpkin trees chicken. In thy stagecoach.",true,false,15,0,true,2,4,3
8,1,wildwestguy085,2019-12-10T22:39:28.208Z,5,"Kidney beans, llamas pick up truck.","Outhouse at nails mower. Onion railroad tumbleweed and revolver revolver canning owls at a squeal. outlaw at spurs mushrooms railroad fort stagecoach. Haybine frontier soybeans, owls revolver raising or, cheep in plows. 

Hoot squeal moose quack, crows doggies frogs crickets chirp. desert at pineapples pigeons. Lamb in stagecoach baler rain barrels manure hay rake. veterinarian blue berrie. deserttle jelly canning. Rooster railroad pineapples fertilizer, a miner 49er chirp pets in. outlaw at spurs mushrooms railroad fort stagecoach. 

In stagecoach, quonset is gold nugget bins, gold nugget trucks quonset pole shed, with fences cowboy tumbleweed frontier scra.",true,true,12,10,false,,,
9,1,jesseYeehaw97,2019-12-10T22:39:28.208Z,3,Lorem ipsume cowboy tumbleweed and no stagecoach.,fort stagecoach.,true,true,7,19,true,4,2,4
10,1,DAVYCROCKETT,2019-12-10T22:39:28.208Z,1,Lorem ipsume cowboy tumbleweed and no stagecoach.,fort stagecoach.,false,true,1,6,true,1,3,3
